Loan Description,,,,,,Issue Date,Payable,Callable,Interest Payable,,Amount in Millions of Dollars,,,,
,,,,,,,,,,,Issued,Retired,Inflation Adj.,Outstanding,
Marketable:,,,,,,,,,,,,,,,
,Treasury Bills (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,Issue Date:,Redeemable:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Bill 1,,6.262,7/3/1975,,1/2/1976,,1/2/1976,,2701,,,,5702
,,Bill 2,,6.547,10/2/1975,,,,,,3001,,,,
,,Bill 3,,6.509,7/10/1975,,1/8/1976,,1/8/1976,,2901,,,,6004
,,Bill 4,,6.238,10/9/1975,,,,,,3103,,,,
,,Bill 5,,6.378,1/14/1975,,1/13/1976,,1/13/1976,,2001,,,,2001
,,Bill 6,,6.343,7/17/1975,,1/15/1976,,1/15/1976,,2905,,,,5905
,,Bill 7,,6.045,10/16/1975,,,,,,3000,,,,
,,Bill 8,,6.627,7/24/1975,,1/22/1976,,1/22/1976,,2902,,,,5907
,,Bill 9,,5.886,10/23/1975,,,,,,3005,,,,
,,Bill 10,,6.719,7/31/1975,,1/29/1976,,1/29/1976,,2902,,,,5901
,,Bill 11,,5.685,10/30/1975,,,,,,2999,,,,
,,Bill 12,,6.56,4/14/1975,,1/31/1976,,1/31/1976,,1586,,,,1586
,,Bill 13,,6.864,8/7/1975,,2/5/1976,,2/5/1976,,3002,,,,6205
,,Bill 14,,5.602,11/6/1975,,,,,,3203,,,,
,,Bill 15,,5.313,2/11/1975,,2/10/1976,,2/10/1976,,2103,,,,2103
,,Bill 16,,6.809,8/14/1975,,2/13/1976,,2/13/1976,,3101,,,,6304
,,Bill 17,,5.279,11/13/1975,,,,,,3203,,,,
,,Bill 18,,7,8/21/1975,,2/19/1976,,2/19/1976,,3202,,,,6405
,,Bill 19,,5.472,11/20/1975,,,,,,3203,,,,
,,Bill 20,,7.085,8/28/1975,,2/26/1976,,2/26/1976,,3202,,,,6433
,,Bill 21,,5.521,11/28/1975,,,,,,3231,,,,
,,Bill 22,,6.866,9/4/1975,,3/4/1976,,3/4/1976,,3203,,,,6406
,,Bill 23,,5.549,12/4/1975,,,,,,3203,,,,
,,Bill 24,,5.637,3/11/1975,,3/9/1976,,3/9/1976,,2102,,,,2102
,,Bill 25,,6.889,9/11/1975,,3/11/1976,,3/11/1976,,3202,,,,6109
,,Bill 26,,5.634,12/11/1975,,,,,,2907,,,,
,,Bill 27,,6.901,9/18/1975,,3/18/1976,,3/18/1976,,2920,,,,5622
,,Bill 28,,5.491,12/18/1975,,,,,,2702,,,,
,,Bill 29,,6.824,9/25/1975,,3/25/1976,,3/25/1976,,2804,,,,5514
,,Bill 30,,5.34,12/26/1975,,,,,,2710,,,,2710
,,Bill 31,,6.981,10/2/1975,,4/1/1976,,4/1/1976,,3103,,,,3103
,,Bill 32,,6.474,4/8/1975,,4/6/1976,,4/6/1976,,2205,,,,2205
,,Bill 33,,6.571,10/9/1975,,4/8/1976,,4/8/1976,,3190,,,,3190
,,Bill 34,,6.243,10/16/1975,,4/15/1976,,4/15/1976,,3103,,,,3103
,,Bill 35,,6.156,10/23/1975,,4/22/1976,,4/22/1976,,3102,,,,5104
,,Bill 36,,5.823,12/5/1975,,,,,,2002,,,,
,,Bill 37,,5.974,10/30/1975,,4/29/1976,,4/29/1976,,3204,,,,3204
,,Bill 38,,6.4,5/6/1975,,5/4/1976,,5/4/1976,,2435,,,,2435
,,Bill 39,,5.792,11/6/1975,,5/6/1976,,5/6/1976,,3304,,,,3304
,,Bill 40,,5.483,11/13/1975,,5/13/1976,,5/13/1976,,3302,,,,3302
,,Bill 41,,5.795,11/20/1975,,5/20/1976,,5/20/1976,,3401,,,,3401
,,Bill 42,,5.933,11/28/1975,,5/27/1976,,5/27/1976,,3412,,,,3412
,,Bill 43,,5.803,6/3/1975,,6/1/1976,,6/1/1976,,2404,,,,2404
,,Bill 44,,5.995,12/4/1975,,6/3/1976,,6/3/1976,,3401,,,,3401
,,Bill 45,,6.143,12/11/1975,,6/10/1976,,6/10/1976,,3302,,,,3302
,,Bill 46,,5.914,12/18/1975,,6/17/1976,,6/17/1976,,3099,,,,3099
,,Bill 47,,5.678,12/26/1975,,6/24/1976,,6/24/1976,,3107,,,,3107
,,Bill 48,,6.292,7/1/1975,,6/29/1976,,6/29/1976,,2591,,,,2591
,,Bill 49,,6.782,7/29/1975,,7/27/1976,,7/27/1976,,2293,,,,2293
,,Bill 50,,7.331,8/26/1975,,8/24/1976,,8/24/1976,,2893,,,,2893
,,Bill 51,,7.34,9/23/1975,,9/21/1976,,9/21/1976,,2860,,,,2860
,,Bill 52,,6.6,10/21/1975,,10/19/1976,,10/19/1976,,3062,,,,3062
,,Bill 53,,6.01,11/18/1975,,11/15/1976,,11/15/1976,,3245,,,,3245
,,Bill 54,,6.44,12/16/1975,,12/14/1976,,12/14/1976,,3253,,,,3253
,,,,,,,,,,,,,,,
,Treasury Notes (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Rate:,Issue Date:,Redeemable:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Note 1,,6.25,2/15/1969,,2/15/1976,,2/15-8/15,,3739,,,,3739
,,Note 2,,6.5,5/15/1969,,5/15/1976,,5/15-11/15,,2697,,,,2697
,,Note 3,,7.5,10/1/1969,,8/15/1976,,2/15-8/15,,4194,,,,4194
,,Note 4,,6.25,9/8/1971,,11/15/1976,,5/15-11/15,,4325,,,,4325
,,Note 5,,5.75,2/15/1972,,5/15/1976,,5/15-11/15,,2802,,,,2802
,,Note 6,,5.875,8/15/1972,,2/15/1976,,2/15-8/15,,4945,,,,4945
,,Note 7,,6.5,2/15/1973,,8/15/1976,,2/15-8/15,,3883,,,,3883
,,Note 8,,8,4/9/1974,,3/31/1976,,3/31-9/30,,2288,,,,2288
,,Note 9,,8.75,5/15/1974,,6/30/1976,,6/30-12/31,,2703,,,,2703
,,Note 10,,8.25,9/30/1974,,9/30/1976,,3/31-9/30,,2023,,,,2023
,,Note 11,,7.25,12/31/1974,,12/31/1976,,6/30-12/31,,2282,,,,2282
,,Note 12,,5.875,3/3/1975,,8/31/1976,,2/29-8/31,,1662,,,,1662
,,Note 13,,6,3/25/1975,,5/31/1976,,5/31-11/30,,1560,,,,1560
,,Note 14,,7.125,4/8/1975,,11/30/1976,,5/31-11/30,,1507,,,,1507
,,Note 15,,6.5,6/6/1975,,10/31/1976,,4/30-10/31,,1579,,,,1579
,,Note 16,,8,2/15/1970,,2/15/1977,,2/15-8/15,,5163,,,,5163
,,Note 17,,7.75,8/15/1970,,8/15/1977,,2/15-8/15,,4918,,,,4918
,,Note 18,,6.875,2/15/1974,,5/15/1977,,5/15-11/15,,2565,,,,2565
,,Note 19,,9,8/15/1974,,5/15/1977,,5/15-11/15,,5329,,,,5329
,,Note 20,,7.75,11/15/1974,,11/15/1977,,5/15-11/15,,3630,,,,3630
,,Note 21,,6,3/3/1975,,2/28/1977,,2/29-8/31,,1665,,,,1665
,,Note 22,,6.5,3/31/1975,,3/31/1977,,3/31-9/30,,2576,,,,2576
,,Note 23,,7.875,4/30/1975,,4/30/1977,,4/30-10/31,,1579,,,,1579
,,Note 24,,6.75,5/27/1975,,5/31/1977,,3/31-9/30,,2137,,,,2137
,,Note 25,,6.5,6/30/1975,,6/30/1977,,6/30-12/31,,2170,,,,2170
,,Note 26,,7.5,7/31/1975,,7/31/1977,,1/31-7/31,,1516,,,,1516
,,Note 27,,8.25,8/29/1975,,8/31/1977,,2/29-8/31,,2021,,,,2021
,,Note 28,,8.375,9/30/1975,,9/30/1977,,3/31-9/30,,3226,,,,3226
,,Note 29,,7.5,10/31/1975,,10/31/1977,,4/30-10/31,,3156,,,,3156
,,Note 30,,7.25,12/31/1975,,12/31/1977,,6/30-12/31,,2757,,,,2757
,,Note 31,,6.25,2/15/1971,,2/15/1978,,2/15-8/15,,8389,,,,8389
,,Note 32,,6,11/15/1971,,11/15/1978,,5/15-11/15,,8207,,,,8207
,,Note 33,,8.75,5/15/1974,,8/15/1978,,2/15-8/15,,2462,,,,2462
,,Note 34,,7.125,2/18/1975,,5/15/1978,,5/15-11/15,,3960,,,,3960
,,Note 35,,7.625,5/15/1975,,8/15/1978,,2/15-8/15,,5155,,,,5155
,,Note 36,,7.875,8/15/1975,,5/15/1978,,5/15-11/15,,4423,,,,4423
,,Note 37,,8,10/7/1975,,2/28/1978,,2/29-8/31,,2114,,,,2114
,,Note 38,,8.125,10/22/1975,,12/31/1978,,6/30-12/31,,2517,,,,2517
,,Note 39,,6.25,8/15/1972,,8/15/1979,,2/15-8/15,,4559,,,,4559
,,Note 40,,6.625,2/15/1973,,11/15/1979,,5/15-11/15,,1604,,,,1604
,,Note 41,,7,11/15/1973,,11/15/1979,,5/15-11/15,,2241,,,,2241
,,Note 42,,7.875,11/6/1974,,5/15/1979,,5/15-11/15,,2269,,,,2269
,,Note 43,,7.75,7/9/1975,,6/30/1979,,6/30-12/31,,1782,,,,1782
,,Note 44,,8.5,9/4/1975,,9/30/1979,,3/31-9/30,,2081,,,,2081
,,Note 45,,6.875,5/15/1973,,5/15/1980,,5/15-11/15,,7265,,,,7265
,,Note 46,,9,8/15/1974,,8/15/1980,,2/15-8/15,,4296,,,,4296
,,Note 47,,7,2/15/1974,,2/15/1981,,2/15-8/15,,1842,,,,1842
,,Note 48,,7.75,11/15/1974,,11/15/1981,,5/15-11/15,,4477,,,,4477
,,Note 49,,7.375,2/18/1975,,2/15/1981,,2/15-8/15,,2168,,,,2168
,,Note 50,,8,5/15/1975,,5/15/1982,,5/15-11/15,,2747,,,,2747
,,Note 51,,8.125,8/15/1975,,8/15/1982,,2/15-8/15,,2918,,,,2918
,,Note 52,,7.875,11/17/1975,,11/15/1982,,5/15-11/15,,2902,,,,2902
,,Note 53,,1.5,4/1/1971,,4/1/1976,,4/1-10/1,,27,,,,27
,,Note 54,,1.5,10/1/1971,,10/1/1976,,4/1-10/1,,11,,,,11
,,Note 55,,1.5,4/1/1972,,4/1/1977,,4/1-10/1,,5,,,,5
,,Note 56,,1.5,10/1/1972,,10/1/1977,,4/1-10/1,,17,,,,17
,,Note 57,,1.5,4/1/1973,,4/1/1978,,4/1-10/1,,15,,,,15
,,Note 58,,1.5,10/1/1973,,10/1/1978,,4/1-10/1,,3,,,,3
,,Note 59,,1.5,4/1/1974,,4/1/1979,,4/1-10/1,,2,,,,2
,,Note 60,,1.5,10/1/1974,,10/1/1979,,4/1-10/1,,1,,,,1
,,Note 61,,1.5,4/1/1975,,4/1/1980,,4/1-10/1,,2,,,,2
,,Note 62,,1.5,10/1/1975,,10/1/1980,,4/1-10/1,,1,,,,1
,,,,,,,,,,,,,,,
,Treasury Bonds (Maturity Value):,,,,1d,,,,,,,,,,
,CUSIP:,,,Yield:,Issue Date:,Redeemable:,Payable Date:,,Interest Payable:,,Issued:,Retired:,,,Outstanding:
,,Bond 1,,4.25,4/5/1960,5/15/1976,5/15/1985,,5/15-11/15,,1218,26,,,1192
,,Bond 2,,3.25,5/1/1953,6/15/1978,6/15/1983,,6/15-12/15,,1606,171,,,1436
,,Bond 3,,4,1/23/1959,,2/15/1980,,2/15-8/15,,2612,48,,,2563
,,Bond 4,,3.5,10/3/1960,,11/15/1980,,5/15-11/15,,1916,24,,,1892
,,Bond 5,,7,8/15/1971,,8/15/1981,,2/15-8/15,,807,,,,807
,,Bond 6,,6.375,2/15/1972,,2/15/1982,,2/15-8/15,,2702,,,,2702
,,Bond 7,,6.375,8/15/1972,,8/15/1984,,2/15-8/15,,2353,,,,2353
,,Bond 8,,3.25,6/3/1958,,5/15/1985,,2/15-8/15,,1135,242,,,893
,,Bond 9,,6.125,11/15/1971,,11/15/1986,,2/15-8/15,,1216,,,,1216
,,Bond 10,,4.25,8/15/1962,8/15/1987,8/15/1992,,2/15-8/15,,3818,328,,,3490
,,Bond 11,,4,1/17/1963,2/15/1988,2/15/1993,,2/15-8/15,,250,30,,,220
,,Bond 12,,7.5,8/15/1973,8/15/1988,8/15/1993,,2/15-8/15,,1914,,,,1914
,,Bond 13,,4.125,4/18/1963,5/15/1989,5/15/1994,,5/15-11/15,,1560,249,,,1312
,,Bond 14,,3.5,2/14/1958,,2/15/1990,,2/15-8/15,,4917,1373,,,3545
,,Bond 15,,8.25,4/7/1975,,5/15/1990,,5/15-11/15,,1247,,,,1247
,,Bond 16,,6.75,1/10/1973,,2/15/1993,,2/15-8/15,,627,,,,627
,,Bond 17,,7,5/15/1973,5/15/1993,5/15/1998,,5/15-11/15,,692,,,,692
,,Bond 18,,8.5,5/15/1974,5/15/1994,5/15/1999,,5/15-11/15,,2414,,,,2414
,,Bond 19,,3,2/15/1955,,2/15/1995,,2/15-8/15,,2745,2053,,,692
,,Bond 20,,7.875,2/18/1975,2/15/1995,2/15/2000,,2/15-8/15,,902,,,,902
,,Bond 21,,8.375,8/15/1975,8/15/1995,8/15/2000,,2/15-8/15,,2265,,,,2265
,,Bond 22,,3.5,10/3/1960,,11/15/1998,,5/15-11/15,,4463,1811,,,2652
,,Bond 23,,8.25,5/15/1975,5/15/2000,5/15/2005,,5/15-11/15,,1604,,,,1604
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tips:,,,,7  d,,,,,,,,,,
,CUSIP:,,Series:,Interest Rate:,,,,,,,,,,,
,,None,,1,,1/1/1950,1/31/1976,,,1,,,,,1
,,,,,,,,,,,,,,,
